year,serial,pernum,asec_flag,weight,state_fips,age,sex,nativity,empstat,educ,hrs_work,earn_week,immigrant,employed,female,educ_cat,state_abb,state_name,ln_earn,earn_extreme
2000,919,2,1,1079.66,33,35,1,1,10,60,NA,480,0,1,0,less_hs,NH,New Hampshire,6.173786103901937,0
2000,927,1,1,1048.08,33,35,2,1,10,92,40,390,0,1,1,some_college,NH,New Hampshire,5.966146739123692,0
2000,929,1,1,1072.93,33,36,1,1,10,111,40,1231,0,1,0,college_plus,NH,New Hampshire,7.115582126184454,0
2000,929,2,1,1072.93,33,35,2,1,10,92,39,228,0,1,1,some_college,NH,New Hampshire,5.429345628954441,0
2000,947,1,1,972.3,33,54,2,1,10,73,15,120,0,1,1,hs,NH,New Hampshire,4.787491742782046,0
2000,947,2,1,972.3,33,56,1,1,10,123,40,1346,0,1,0,college_plus,NH,New Hampshire,7.204892510204673,0
2000,955,1,1,1072.93,33,37,1,1,10,123,60,2115,0,1,0,college_plus,NH,New Hampshire,7.656810091480378,0
2000,955,2,1,1072.93,33,39,2,1,12,123,NA,225,0,1,1,college_plus,NH,New Hampshire,5.41610040220442,0
2000,964,3,1,709.95,33,50,1,1,10,73,50,850,0,1,0,hs,NH,New Hampshire,6.745236349484363,0
2000,966,1,1,972.3,33,48,1,1,10,73,48,616,0,1,0,hs,NH,New Hampshire,6.423246963533519,0
2000,966,2,1,972.3,33,51,2,3,10,73,40,425,0,1,1,hs,NH,New Hampshire,6.052089168924417,0
2000,970,1,1,731.27,33,46,1,1,10,73,40,635,0,1,0,hs,NH,New Hampshire,6.453624998892692,0
2000,970,2,1,731.27,33,45,2,1,10,91,50,692,0,1,1,some_college,NH,New Hampshire,6.539585955617669,0
2000,983,2,1,1105.26,33,43,1,1,10,123,55,2115,0,1,0,college_plus,NH,New Hampshire,7.656810091480378,0
2000,998,1,1,1105.26,33,46,1,1,10,111,60,2115,0,1,0,college_plus,NH,New Hampshire,7.656810091480378,0
2000,999,1,1,1023.46,33,46,1,1,10,111,40,486,0,1,0,college_plus,NH,New Hampshire,6.186208623900494,0
2000,999,2,1,909.87,33,34,1,1,10,91,45,731,0,1,0,some_college,NH,New Hampshire,6.594413459749778,0
2000,999,3,1,1022.24,33,28,2,1,10,111,40,550,0,1,1,college_plus,NH,New Hampshire,6.309918278226516,0
2000,1000,1,1,1073.03,33,49,2,4,10,111,40,1700,1,1,1,college_plus,NH,New Hampshire,7.438383530044307,0
2000,1000,2,1,1073.03,33,50,1,1,10,81,60,500,0,1,0,some_college,NH,New Hampshire,6.214608098422191,0
2000,1008,2,1,1503.69,33,35,1,1,10,20,8,52,0,1,0,less_hs,NH,New Hampshire,3.9512437185814275,0
2000,1013,2,1,750.33,33,27,2,1,10,91,40,692,0,1,1,some_college,NH,New Hampshire,6.539585955617669,0
2000,1014,1,1,741.02,33,40,1,1,12,123,NA,692,0,1,0,college_plus,NH,New Hampshire,6.539585955617669,0
2000,1014,2,1,741.02,33,35,2,1,12,111,40,978,0,1,1,college_plus,NH,New Hampshire,6.885509670034818,0
2000,1017,1,1,1195.35,33,36,1,5,10,123,50,923,1,1,0,college_plus,NH,New Hampshire,6.827629234502852,0
2000,1019,1,1,655.82,33,58,2,1,12,123,37,692,0,1,1,college_plus,NH,New Hampshire,6.539585955617669,0
2000,1027,1,1,802.82,33,43,2,2,10,91,38,404,0,1,1,some_college,NH,New Hampshire,6.0014148779611505,0
2000,1028,1,1,802.82,33,44,2,1,10,123,40,649,0,1,1,college_plus,NH,New Hampshire,6.47543271670409,0
2000,1029,1,1,896.32,33,59,1,1,10,73,45,462,0,1,0,hs,NH,New Hampshire,6.135564891081739,0
2000,1029,2,1,896.32,33,61,2,1,10,71,40,460,0,1,1,hs,NH,New Hampshire,6.131226489483141,0
2000,1030,1,1,1048.18,33,58,1,1,10,124,35,1115,0,1,0,college_plus,NH,New Hampshire,7.016609683894219,0
2000,1030,2,1,1048.18,33,48,2,1,10,111,40,1154,0,1,1,college_plus,NH,New Hampshire,7.050989447068045,0
2000,1037,1,1,723.85,33,44,1,1,10,73,40,480,0,1,0,hs,NH,New Hampshire,6.173786103901937,0
2000,1037,2,1,723.85,33,37,2,1,10,73,40,466,0,1,1,hs,NH,New Hampshire,6.1441856341256456,0
2000,1039,1,1,1096.69,33,33,1,1,10,73,50,596,0,1,0,hs,NH,New Hampshire,6.39024066706535,0
2000,1039,2,1,1096.69,33,30,2,1,10,81,40,692,0,1,1,some_college,NH,New Hampshire,6.539585955617669,0
2000,1079,2,1,731.27,33,49,2,1,10,73,NA,125,0,1,1,hs,NH,New Hampshire,4.8283137373023015,0
2000,1095,1,1,714.33,33,46,2,1,10,2,25,133,0,1,1,less_hs,NH,New Hampshire,4.890349128221754,0
